id_member,Afriat,HM,Swaps,Varian,InvVarian,NMCI,Varian0.5,InvVarian0.5,NMCI0.5,Afriat_FOSD,HM_FOSD,Swaps_FOSD,Varian_FOSD,InvVarian_FOSD,NMCI_FOSD,Varian0.5_FOSD,InvVarian0.5_FOSD,NMCI0.5_FOSD
13062002,0.00544595034640726,0.04,0.04,0.00021783801385629,0.00021783801385629,0.00021783801385629,0.00295186729956677,0.00295186729956677,0.00295186729956677,0.0369479465190529,0.24,0.24,0.00315176501982181,0.00315176501982181,0.00315176501982181,0.0221493514231964,0.0221493514231964,0.0221493514231964
13064002,0.172219845453645,0.08,0.24,0.00894219932836635,0.011744208510591,0.0160557014519334,0.0256626551170817,0.0313745254156983,0.0513312782407924,0.570375878853434,0.56,2.76,0.117104365504453,0.119766590011673,0.444312133108569,0.215215341975156,0.221640105595036,0.982918739813092
13069501,0.0116975820014202,0.04,0.04,0.000467903280056807,0.000467903280056807,0.000467903280056807,0.00432621441935929,0.00432621441935929,0.00432621441935929,0.0305284295656479,0.36,0.48,0.00431292854271929,0.00427936795932043,0.00492935460817389,0.0373573606792749,0.0355207633873303,0.0437465921064586
13069502,0.0511168416619253,0.12,0.16,0.00341992133047045,0.00358102302577218,0.00367351051894071,0.0181301502314538,0.019391638655734,0.0213150470176637,0.232854186158601,0.28,0.52,0.0202062573218789,0.0197333099136307,0.0320474684008575,0.0683739925458795,0.0671037416472513,0.12018323121633
13106001,0,0,0,0,0,0,0,0,0,0.0136740331491713,0.48,0.48,0.00227507087810737,0.00227507087810737,0.00227507087810737,0.0306658783732909,0.0306658783732909,0.0306658783732909
13110501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13129501,0.430268087254563,0.12,0.36,0.0394944916935901,0.0441936442144834,0.0683647880062049,0.0694645669676206,0.0691476353685795,0.146091895201267,0.505672609400324,0.44,1.44,0.0594673573431002,0.0622390436793764,0.188106008742087,0.12467155246758,0.128045630873202,0.454149989293021
13135001,0.0463721648260302,0.16,0.2,0.00441630210684252,0.00441630210684252,0.00441630210684252,0.025182578045837,0.0246638031247056,0.025182578045837,0.434227272727273,0.32,1.24,0.0340375817499427,0.032766801696386,0.115581602457082,0.0758974525040371,0.072822723688801,0.313065808473572
13135002,0.1051279927098,0.16,0.2,0.00665670416265252,0.00676907406225646,0.00676907406225646,0.0297635673567899,0.0318836607472229,0.0318836607472229,0.180851063829787,0.28,0.76,0.0229608204797156,0.0210095887386554,0.0516997206381114,0.0696036710761615,0.0670110685995052,0.179091587063632
13135003,0.021305225386858,0.08,0.08,0.000911212523368386,0.000911212523368386,0.000911212523368386,0.00737479865682013,0.00737479865682013,0.00737479865682013,0.021305225386858,0.2,0.24,0.00155143521231616,0.00155143521231616,0.00161043872021023,0.0158233370170361,0.0158233370170361,0.0173596118348218
13135004,0,0,0,0,0,0,0,0,0,0.0189937781995403,0.04,0.04,0.000759751127981613,0.000759751127981613,0.000759751127981613,0.00551271667322605,0.00551271667322605,0.00551271667322605
13150001,0.0675334149709491,0.08,0.12,0.00680614790890776,0.00680614790890776,0.00712443300183098,0.0284418206955458,0.0231438723803152,0.0291842451266785,0.117393087817121,0.36,0.88,0.022476049573242,0.0208048390668218,0.0394540395894267,0.0883444366072839,0.0813748304573878,0.175165836180181
